area,mean_daily_cost,mean_order_cost,mean_weekly_cost,CUM_VAR,quintile
13,529.2074414054056,959.8370260784316,3158.1734406451624,0.007876052704343165,1.0
12,2567.3250777837825,2987.1392414465417,15321.133528709668,0.04608486467438672,1.0
4,3394.2959967027023,4186.298395933331,20256.28256096774,0.09660126348611822,1.0
11,3664.0712991891855,3683.984730163043,21866.231946774173,0.15113265591749908,1.0
9,4298.79693362162,4467.850745617975,25654.11073290322,0.21511050007735794,2.0
3,4305.058227351347,5105.35751320513,25691.476518064494,0.279181529395917,2.0
7,4308.714639297288,4581.104645229887,25713.29704096769,0.34330697611480315,2.0
8,4807.208103297291,4886.447797307693,28688.177390645124,0.41485136763311986,3.0
10,5400.816399513511,5489.8408456593415,32230.67851322579,0.49523027254058744,3.0
1,5583.4968017297215,5835.858239096046,33320.86801032253,0.5783279609785444,3.0
2,6169.10202383783,6484.567468238636,36815.60885193544,0.6701410551957803,4.0
6,6526.8613972432295,6671.101428121545,38950.62446741927,0.7672785864105964,4.0
0,7499.654500324309,7499.6545003243245,44756.002663225714,0.8788939370036527,5.0
5,8137.354096378374,8457.362403539324,48561.62928483869,1.0,5.0
